[DEBUG] 2020-02-16 23:10:51.961 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 23:10:51.971 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 23:10:51.977 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 23:10:52.716 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 23:10:52.718 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 23:10:53.085 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 23:10:53.086 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 23:10:53.092 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 23:10:53.753 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 23:10:53.798 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 23:10:53.805 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 23:10:53.832 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 23:10:53.876 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bde1f3a
[DEBUG] 2020-02-16 23:10:53.877 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bde1f3a
[DEBUG] 2020-02-16 23:10:53.877 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7bde1f3a
[DEBUG] 2020-02-16 23:10:53.877 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5cf8edcf
[DEBUG] 2020-02-16 23:10:53.878 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@ecfbe91
[DEBUG] 2020-02-16 23:10:53.878 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@49aa766b
[DEBUG] 2020-02-16 23:10:53.880 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3eed0f5
[DEBUG] 2020-02-16 23:10:53.880 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3eed0f5
[DEBUG] 2020-02-16 23:10:53.880 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3eed0f5
[DEBUG] 2020-02-16 23:10:53.881 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@26dcd8c0
[DEBUG] 2020-02-16 23:10:53.881 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@26dcd8c0
[DEBUG] 2020-02-16 23:10:53.881 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@26dcd8c0
[DEBUG] 2020-02-16 23:10:53.883 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3a022576
[DEBUG] 2020-02-16 23:10:53.883 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3a022576
[DEBUG] 2020-02-16 23:10:53.883 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3a022576
[DEBUG] 2020-02-16 23:10:53.884 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7df60067
[DEBUG] 2020-02-16 23:10:53.884 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7df60067
[DEBUG] 2020-02-16 23:10:53.884 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7df60067
[DEBUG] 2020-02-16 23:10:53.888 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@393881f0
[DEBUG] 2020-02-16 23:10:53.888 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@393881f0
[DEBUG] 2020-02-16 23:10:53.888 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@393881f0
[DEBUG] 2020-02-16 23:10:53.889 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2fc07784
[DEBUG] 2020-02-16 23:10:53.889 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2fc07784
[DEBUG] 2020-02-16 23:10:53.889 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2fc07784
[DEBUG] 2020-02-16 23:10:53.890 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@682bd3c4
[DEBUG] 2020-02-16 23:10:53.890 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@682bd3c4
[DEBUG] 2020-02-16 23:10:53.891 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@682bd3c4
[DEBUG] 2020-02-16 23:10:53.892 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6f667ad1
[DEBUG] 2020-02-16 23:10:53.892 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6f667ad1
[DEBUG] 2020-02-16 23:10:53.893 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@765df79d
[DEBUG] 2020-02-16 23:10:53.893 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@765df79d
[DEBUG] 2020-02-16 23:10:53.894 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4cdd2c73
[DEBUG] 2020-02-16 23:10:53.894 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4cdd2c73
[DEBUG] 2020-02-16 23:10:53.894 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@c27d163
[DEBUG] 2020-02-16 23:10:53.895 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5e39850
[DEBUG] 2020-02-16 23:10:53.895 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@476ec9d0
[DEBUG] 2020-02-16 23:10:53.896 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@476ec9d0
[DEBUG] 2020-02-16 23:10:53.896 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2227a6c1
[DEBUG] 2020-02-16 23:10:53.897 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2227a6c1
[DEBUG] 2020-02-16 23:10:53.902 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@41c204a0
[DEBUG] 2020-02-16 23:10:53.903 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@41c204a0
[DEBUG] 2020-02-16 23:10:53.905 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@73ba6fe6
[DEBUG] 2020-02-16 23:10:53.905 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@73ba6fe6
[DEBUG] 2020-02-16 23:10:53.906 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@29f0c4f2
[DEBUG] 2020-02-16 23:10:53.906 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@29f0c4f2
[DEBUG] 2020-02-16 23:10:53.908 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2b214b94
[DEBUG] 2020-02-16 23:10:53.909 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2b214b94
[DEBUG] 2020-02-16 23:10:53.928 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@250b236d
[DEBUG] 2020-02-16 23:10:53.929 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@250b236d
[DEBUG] 2020-02-16 23:10:53.936 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@69c93ca4
[DEBUG] 2020-02-16 23:10:53.936 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@69c93ca4
[DEBUG] 2020-02-16 23:10:53.939 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@16a9a4f1
[DEBUG] 2020-02-16 23:10:53.940 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@16a9a4f1
[DEBUG] 2020-02-16 23:10:53.944 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@45792847
[DEBUG] 2020-02-16 23:10:53.945 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@45792847
[DEBUG] 2020-02-16 23:10:53.947 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@5631962
[DEBUG] 2020-02-16 23:10:53.948 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@5631962
[DEBUG] 2020-02-16 23:10:53.950 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1eaf1e62
[DEBUG] 2020-02-16 23:10:53.951 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1eaf1e62
[DEBUG] 2020-02-16 23:10:53.951 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1eaf1e62
[DEBUG] 2020-02-16 23:10:53.954 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@31ee96f4
[DEBUG] 2020-02-16 23:10:53.955 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@51dbd6e4
[DEBUG] 2020-02-16 23:10:53.956 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@51dbd6e4
[DEBUG] 2020-02-16 23:10:53.956 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@51dbd6e4
[DEBUG] 2020-02-16 23:10:53.959 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@25a73de1
[DEBUG] 2020-02-16 23:10:53.960 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@51827393
[DEBUG] 2020-02-16 23:10:53.960 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@51827393
[DEBUG] 2020-02-16 23:10:53.961 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@46d8f407
